SKU ID,VendorProduct_ID,UnitMeasurementBuy,LotSizeBuy,Current_Buy,UnitMeasurementSell,LotSizeSell,Current_Sell,Specs_JSON,Threshold
1,12,1,10,19.5,1,1,,"{""spec1"": ""Clamp 2.5mm"", ""spec2"": ""63 mm""}",42
2,12,1,10,20.5,1,1,,"{""spec1"": ""Clamp 2.5mm"", ""spec2"": ""75 mm""}",27
3,12,1,10,22.5,1,1,,"{""spec1"": ""Clamp 2.5mm"", ""spec2"": ""90 mm""}",35
4,12,1,10,24.5,1,1,,"{""spec1"": ""Clamp 2.5mm"", ""spec2"": ""110 mm""}",48
5,12,1,10,27.5,1,1,,"{""spec1"": ""Clamp Galvanise 2.5mm"", ""spec2"": ""63 mm""}",22
6,12,1,10,29,1,1,,"{""spec1"": ""Clamp Galvanise 2.5mm"", ""spec2"": ""75 mm""}",31
7,12,1,10,32,1,1,,"{""spec1"": ""Clamp Galvanise 2.5mm"", ""spec2"": ""90 mm""}",45
8,12,1,10,36,1,1,,"{""spec1"": ""Clamp Galvanise 2.5mm"", ""spec2"": ""110 mm""}",29
9,12,1,10,40,1,1,,"{""spec1"": ""Clamp SS"", ""spec2"": ""75 mm""}",38
10,12,1,10,45,1,1,,"{""spec1"": ""Clamp SS"", ""spec2"": ""90 mm""}",21
11,12,1,10,18,1,1,,"{""spec1"": ""Clamp C-Type Powder Coating With Rivet 2.5mm"", ""spec2"": ""63 mm""}",47
12,12,1,10,20,1,1,,"{""spec1"": ""Clamp C-Type Powder Coating With Rivet 2.5mm"", ""spec2"": ""75 mm""}",33
13,12,1,10,28,1,1,,"{""spec1"": ""Clamp C-Type Powder Coating With Rivet 2.5mm"", ""spec2"": ""90 mm""}",26
14,12,1,10,40,1,1,,"{""spec1"": ""Clamp C-Type Powder Coating With Rivet 2.5mm"", ""spec2"": ""110 mm""}",41
15,12,1,10,21,1,1,,"{""spec1"": ""Clamp C-Type Galvanise With Rivet 2.5mm"", ""spec2"": ""63 mm""}",39
16,12,1,10,22.5,1,1,,"{""spec1"": ""Clamp C-Type Galvanise With Rivet 2.5mm"", ""spec2"": ""75 mm""}",24
17,12,1,10,34,1,1,,"{""spec1"": ""Clamp C-Type Galvanise With Rivet 2.5mm"", ""spec2"": ""90 mm""}",44
18,12,1,10,48,1,1,,"{""spec1"": ""Clamp C-Type Galvanise With Rivet 2.5mm"", ""spec2"": ""110 mm""}",28
19,7,1,150,39,1,1,,"{""spec1"": ""1\"" x 0.75\"" x 0.75\"" x 7\""""}",34
20,7,1,150,44,1,1,,"{""spec1"": ""1.25\"" x 1\"" x 1\"" x 7\""""}",22
21,7,1,150,52,1,1,,"{""spec1"": ""1.5\"" x 1.25\"" x 1.25\"" x 7\""""}",47
22,7,1,150,84,1,1,,"{""spec1"": ""2\"" x 1.75\"" x 1.75\"" x 8\""""}",29
23,7,1,150,102,1,1,,"{""spec1"": ""2.5\"" x 2.25\"" x 2.25\"" x 8\""""}",41
24,7,1,150,118,1,1,,"{""spec1"": ""3\"" x 2.75\"" x 2.75\"" x 2.75\"" x 8\""""}",38
25,7,1,150,235,1,1,,"{""spec1"": ""4\"" x 3.75\"" x 3.75\"" x 3.75\"" x 8\""""}",25
26,8,1,150,84,1,1,,"{""spec1"": ""2\"" x 1.5\"" x 8\""""}",45
27,8,1,150,102,1,1,,"{""spec1"": ""2.5\"" x 2\"" x 8\""""}",31
28,8,1,150,118,1,1,,"{""spec1"": ""3\"" x 2.5\"" x 8\""""}",20
29,8,1,150,235,1,1,,"{""spec1"": ""4\"" x 3\"" x 8\""""}",49
